0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
0, 1, 3, 3, 5, 6, 7, 10, 20, 12, 8, 7, 6, 1, 1, 0
3, 6, 14, 16, 17, 17, 18, 21, 7, 6, 5, 5, 4, 2, 2, 1
2, 2, 4, 4, 9, 10, 10, 10, 13, 12, 12, 10, 7, 7, 6, 1
0, 2, 3, 6, 6, 12, 16, 22, 9, 9, 8, 8, 4, 3, 2, 0
1, 2, 3, 7, 10, 10, 12, 14, 8, 8, 6, 6, 5, 2, 1, 1
1, 1, 6, 8, 9, 13, 17, 19, 20, 19, 17, 16, 6, 6, 5, 5
2, 3, 7, 9, 10, 11, 14, 16, 15, 12, 12, 5, 5, 5, 3, 3
27, 27, 27, 27, 26, 22, 21, 18, 19, 19, 22, 26, 26, 27, 29, 29
28, 27, 24, 24, 22, 19, 18, 18, 8, 10, 12, 20, 21, 25, 25, 29
27, 25, 24, 23, 21, 14, 14, 13, 16, 18, 18, 19, 22, 22, 27, 28
29, 29, 27, 23, 22, 18, 15, 14, 17, 18, 18, 18, 21, 21, 25, 28
29, 28, 28, 26, 26, 23, 22, 19, 21, 22, 22, 25, 26, 26, 27, 27
29, 29, 28, 28, 21, 20, 15, 13, 16, 16, 19, 20, 22, 22, 25, 27
29, 28, 27, 24, 18, 17, 16, 16, 12, 15, 16, 16, 20, 20, 22, 27
29, 29, 28, 28, 27, 26, 25, 25, 15, 22, 24, 24, 25, 26, 29, 29
29, 27, 26, 26, 24, 22, 20, 20, 19, 23, 24, 25, 25, 27, 28, 29
29, 29, 27, 21, 18, 17, 15, 13, 17, 17, 18, 21, 23, 23, 29, 29
26, 24, 22, 19, 19, 18, 18, 17, 19, 19, 21, 21, 23, 24, 26, 29
29, 26, 23, 23, 22, 22, 21, 20, 8, 12, 13, 15, 22, 24, 25, 27
24, 23, 23, 22, 22, 20, 14, 13, 17, 20, 25, 26, 27, 28, 28, 29
29, 26, 23, 22, 22, 20, 14, 13, 17, 22, 24, 24, 26, 26, 28, 29
24, 19, 19, 18, 16, 15, 15, 14, 13, 14, 16, 17, 19, 19, 21, 23
29, 28, 26, 21, 20, 19, 16, 15, 16, 16, 17, 17, 20, 21, 24, 25
29, 26, 25, 23, 20, 17, 15, 15, 17, 19, 23, 26, 27, 28, 28, 29
29, 28, 27, 17, 17, 12, 10, 10, 20, 23, 24, 24, 24, 26, 28, 29
12, 12, 19, 26, 3, 5, 24, 6, 25, 12, 19, 19, 11, 4, 12, 21
0, 0, 23, 15, 8, 15, 15, 6, 14, 19, 10, 18, 27, 11, 13, 2
25, 3, 23, 23, 14, 16, 20, 27, 1, 1, 3, 4, 1, 20, 3, 13
6, 12, 24, 29, 14, 13, 21, 26, 27, 12, 12, 13, 24, 5, 9, 14
28, 16, 24, 7, 10, 19, 6, 13, 9, 26, 13, 6, 12, 10, 5, 23
15, 27, 12, 15, 17, 14, 18, 12, 11, 27, 26, 1, 4, 6, 2, 26
22, 18, 5, 15, 26, 26, 2, 17, 5, 10, 19, 17, 0, 14, 13, 16
7, 18, 28, 27, 23, 23, 27, 14, 27, 11, 25, 13, 23, 4, 9, 3
23, 16, 14, 23, 5, 20, 27, 19, 24, 24, 9, 6, 24, 1, 12, 27
13, 9, 24, 16, 8, 5, 3, 29, 21, 20, 17, 14, 0, 19, 24, 1
0, 15, 23, 13, 0, 20, 11, 17, 20, 8, 3, 28, 13, 20, 20, 26
29, 28, 29, 13, 9, 23, 25, 18, 13, 14, 2, 14, 2, 13, 19, 4
0, 8, 5, 8, 7, 29, 27, 23, 28, 6, 25, 29, 2, 4, 15, 0
0, 21, 14, 1, 20, 10, 21, 7, 20, 5, 29, 15, 18, 26, 14, 6
19, 28, 28, 5, 15, 11, 18, 0, 1, 6, 15, 3, 27, 26, 16, 8
29, 1, 14, 11, 28, 17, 13, 19, 16, 28, 18, 2, 29, 11, 4, 1
22, 19, 10, 3, 6, 9, 15, 18, 2, 14, 0, 14, 24, 18, 9, 24
18, 20, 15, 16, 12, 3, 8, 1, 14, 8, 18, 16, 23, 16, 0, 19
